2015-04-08,21:45:19 2015-04-08,22:01:59	42610701928	42610
2015-04-08,22:01:59 2015-04-08,22:18:39	52733910848	52733
2015-04-08,22:18:39 2015-04-08,22:35:19	50825428231	50825
2015-04-08,22:35:19 2015-04-08,22:51:59	42362638111	42362
2015-04-08,22:51:59 2015-04-08,23:08:39	44005760284	44005
2015-04-08,23:08:39 2015-04-08,23:25:19	41130532781	41130
2015-04-08,23:25:19 2015-04-08,23:41:59	45630404762	45630
2015-04-08,23:41:59 2015-04-08,23:58:39	49794468970	49794
2015-04-08,23:58:39 2015-04-09,00:15:19	58804179865	58804
2015-04-09,00:15:19 2015-04-09,00:31:59	38253820234	38253
2015-04-09,00:31:59 2015-04-09,00:48:39	50494088537	50494
2015-04-09,00:48:39 2015-04-09,01:05:19	41574520264	41574
2015-04-09,01:05:19 2015-04-09,01:21:59	51521555015	51521
2015-04-09,01:21:59 2015-04-09,01:38:39	65485851268	65485
2015-04-09,01:38:39 2015-04-09,01:55:19	62018218420	62018
2015-04-09,01:55:19 2015-04-09,02:11:59	198056692235	198056
2015-04-09,02:11:59 2015-04-09,02:28:39	316799132489	316799
2015-04-09,02:28:39 2015-04-09,02:45:19	81586375037	81586
2015-04-09,02:45:19 2015-04-09,03:01:59	41253944298	41253
2015-04-09,03:01:59 2015-04-09,03:18:39	63678666250	63678
2015-04-09,03:18:39 2015-04-09,03:35:19	48290782253	48290
2015-04-09,03:35:19 2015-04-09,03:51:59	46534800922	46534
2015-04-09,03:51:59 2015-04-09,04:08:39	51501639706	51501
2015-04-09,04:08:39 2015-04-09,04:25:19	60347079541	60347
2015-04-09,04:25:19 2015-04-09,04:41:59	46659184124	46659
2015-04-09,04:41:59 2015-04-09,04:58:39	62708205415	62708
2015-04-09,04:58:39 2015-04-09,05:15:19	46630863791	46630
2015-04-09,05:15:19 2015-04-09,05:31:59	39759273546	39759
2015-04-09,05:31:59 2015-04-09,05:48:39	54086901768	54086
2015-04-09,05:48:39 2015-04-09,06:05:19	45865097940	45865
2015-04-09,06:05:19 2015-04-09,06:21:59	60316246455	60316
2015-04-09,06:21:59 2015-04-09,06:38:39	97377763594	97377
2015-04-09,06:38:39 2015-04-09,06:55:19	62433225219	62433
2015-04-09,06:55:19 2015-04-09,07:11:59	38060643645	38060
